"agency","count_all_article_instances","count_unique_articles","count_unique_biodata_resources","associated_PMIDs","associated_biodata_resources"
"Robert Bosch Stiftung",1,1,1,"33169878","A.P.E.S"
"NCI NIH HHS",281,137,127,"20949389, 32765587, 31586392, 22760305, 33037820, 24214957, 34903605, 25392415, 25190456, 26519468, 23893318, 33086069, 24470572, 30486838, 30202990, 26450965, 29092931, 30668638, 23630576, 33095860, 23197658, 23264352, 23550061, 24122041, 25990557, 26503248, 26503254, 29485625, 30371892, 33787872, 21177656, 22110038, 23340253, 26780094, 27141961, 28453687, 30407583, 30951672, 31642488, 21591763, 22165817, 22846459, 23118488, 25971743, 26212453, 30247654, 30418591, 31509535, 22570419, 23599502, 29136207, 30535108, 34127402, 21546393, 23044546, 25332399, 26590264, 27907895, 29126312, 29155944, 29284660, 30268942, 31588509, 32986834, 33174596, 33514395, 34349127, 21491493, 22517761, 23196988, 24271386, 25102069, 25527095, 26072489, 26578589, 27152146, 29186335, 31584092, 31647099, 33245774, 33442735, 21656910, 23193263, 24227675, 24304897, 27789569, 29077937, 32358997, 24194593, 27377064, 29059366, 32345346, 34014674, 22121217, 22786849, 24013925, 25392422, 26208906, 27168721, 27733502, 28985418, 29036590, 29092939, 30053266, 33156327, 21276248, 22135298, 23066107, 23110975, 23550210, 26590259, 27789702, 30462313, 27794042, 27924039, 31691815, 32728249, 33290552, 33849445, 33151287, 26302176, 25514926, 26590405, 31308250, 29136208, 25414341, 33290554, 27899562, 24163257, 27587585, 25378335, 24285300, 25428374, 25348401, 26578600, 27899570, 29092072","ACSR, Analysis of Breast Cancer GWAS, APAatlas, AraPath, Bgee, bNAber, Cancer-Immu, Cancer3D, CCGD, ccmGDB, CDSA, CellMiner-SCLC, ChEpiMod, CHESS, ChIPprimersDB, CircNet, Cistrome Cancer, CMEP, CMS, CNCDatabase, DGA, DegraBase, curatedOvarianData, DGIdb, DSigDB, dbMAE, Digital Development, Datasets2Tools, DrugCentral, Drugmonizome, Gene Expression Barcode, GeneSigDB, EDR, GenomeSpace, Enrichr, GDISC, FusionGDB, exRNA Atlas, ExonSkipDB, GlycoFish, HOMER, HINT, HEXEvent, GLASS, Histone Antibody Specificity Database, HACER, HumanNet, GutFeelingKB, LAHEDES, INstruct, LinkedOmics, InteracDome, Immu-Mela, MSigDB, miR-EdiTar, MTB, MutationAligner, mutLBSgeneDB, Met-DB, MIST, ModERN, MiPanda, MutEx, ModelSEED, MitoCarta, MPM, MiREDiBase, Noncoded Amino acids Database, NGS, NURBS, OnTheFly, Panorama, NetGestalt, PAGER, ORegAnno, NCRO, OncoPPi, PDBe-KB, Pathway Commons, PAGER-CoV, O-GlcNAcAtlas, QuAD, PrePPI, PhosphoNetworks, PPD, PMKB, PICKLES, ProNetView-ccRCC, SelenoDB, RID, SBCDDB, REPIC, SistematX, Stem Cell Discovery Engine, Transcriptomine, targetHub, tRFdb, TANRIC, TCCR, SZGR, SysteMHC, TissGDB, TCPA, TC3A, TCRD, ZFNGenome, PhosphoSitePlus, TSGene, MGI, cBioPortal, UCSC Genome Browser, Cistrome, Cistrome DB, RCSB PDB, FlyRNAi, Reactome, ENCODE, GOC, TANTIGEN, MPD, IPD, PANTHER, ChEMBL, GXD, REDIportal, MeT-DB, MGD"
"NSF (UBM-Institutional-Collaborative: The Four-College Biomath Consortium)",1,1,1,"25229122","ACPro"
"FONDECYT",1,1,1,"32702093","AciDB"
"Fundación Ciencia &amp; Vida",1,1,1,"32702093","AciDB"
"Programa de Apoyo a Centros con Financiamiento Basal",2,2,2,"32702093, 33507271","AciDB, SinEx"
"United States Department of Agriculture",31,5,5,"33068435, 32941621, 30407532, 33170273, 31598706","AcrDB, dbCAN-PUL, MaizeGDB, Gramene, Ensembl"
"National Science Foundation",89,54,51,"33068435, 30239679, 30371900, 31680137, 31036810, 30486838, 27391016, 32941621, 33119734, 33174603, 26800861, 27664130, 34010390, 30364992, 31509535, 31841142, 32758136, 26653323, 30535108, 31598675, 26322134, 29206899, 31612915, 32079733, 32986834, 30115014, 34241085, 25382819, 27789569, 30329093, 27188311, 31211398, 31490686, 32719467, 32882008, 33035346, 26227548, 31245720, 31598695, 32386298, 22564364, 32558264, 33021634, 33290552, 33151287, 31680153, 33290554, 28296894, 30395331, 31851420, 33156333, 33170273, 30407594, 31598706","AcrDB, AgBioData, Ancestral Genomes, ANISEED, ASNR, CHESS, D-PLACE, dbCAN-PUL, DescribePROT, Datanator, EchinoDB, ENVO, Echinobase, GPs, GutFeelingKB, GlyMDB, GSDB, iTAP, InteracDome, KnockTF, Metabolic In silico Network Expansions, MOSAIC, MIBiG, MtSSPdb, ModelSEED, PdumBase, OCELOT, ProKinO, PMKB, REDfly, Structure Surfer, SpinachBase, TMB, STAGdb, TBDB, tRFtarget, DOCKGROUND, VPGD, MirGeneDB, MGP Portal, PharmGKB, PDB, NDB, GOC, DrugCentral, Plant Reactome, PANTHER, CDD, InterPro, Gramene, Ensembl"
"UNL",2,2,2,"33068435, 32941621","AcrDB, dbCAN-PUL"
"National Health and Medical Research Council",14,8,8,"33137193, 28381244, 30942868, 30395284, 31161204, 31598690, 33095862, 30395310","AcrHub, DisBind, DEE2, Haemopedia, PRISMOID, ProCarbDB, ThermoMutDB, Vesiclepedia"
"National Natural Science Foundation of China",807,294,289,"34025933, 31584087, 32986825, 31695717, 29321052, 31665428, 31843802, 32294195, 34839012, 28968841, 30239683, 32681639, 33125076, 33219693, 30215764, 31665503, 33882119, 32540200, 28605773, 29985970, 33010176, 30329142, 30329095, 31701131, 34345532, 29939204, 27635320, 35134148, 31691819, 29992323, 33471060, 30289549, 33147626, 31428785, 32608479, 33970229, 33662628, 30045691, 32345360, 34296749, 27365365, 33181824, 34856391, 33121433, 33109630, 30357356, 33693668, 31813095, 31901979, 33010163, 32436316, 33313674, 34992626, 33068433, 33009914, 30285246, 34927675, 29178828, 26940364, 27209279, 28381244, 28575155, 29209336, 29860480, 29961819, 30016397, 30379998, 30380071, 30482172, 30665056, 31603498, 31665429, 33104791, 33320930, 33938221, 34097004, 27037912, 29126995, 30321400, 30335161, 30357379, 30364969, 30365030, 30476229, 30788500, 31277321, 31642496, 31665430, 31774482, 31887789, 32120139, 32681912, 33002112, 33203359, 33497436, 33511767, 34085038, 34954426, 35694152, 27098585, 28529078, 28549078, 29548284, 30053237, 30066211, 30266410, 30371881, 31504765, 31524396, 31566222, 31584099, 31630971, 31725863, 31783725, 32315389, 32496513, 32858223, 32941628, 33045729, 33151298, 33264402, 33406221, 33677507, 33868597, 33965348, 33984507, 34164644, 34175476, 34642750, 34791105, 23601370, 29788225, 30276831, 30476305, 31598675, 31617563, 31665439, 31713618, 31906602, 32193291, 32367112, 32512182, 32766766, 32820322, 33045741, 33045751, 33147622, 33219686, 33507270, 33906563, 34755873, 27167218, 28968812, 29433427, 30057343, 31231773, 31240103, 32833025, 32911083, 32990748, 33125077, 33126250, 33219670, 33418085, 34510194, 28961690, 29982280, 30134653, 30335176, 30445567, 31086734, 31584086, 31950190, 32103267, 32105730, 32111231, 32117995, 32122231, 32487016, 32597311, 33275967, 33304468, 33306802, 33359127, 33514746, 33581334, 33997360, 34120586, 34389843, 26211629, 30239819, 30357353, 30380102, 31584089, 31598699, 31599098, 31602478, 31620779, 31640808, 31725858, 31809863, 33003203, 33010159, 33330918, 33554247, 25640659, 28365723, 28529082, 29028888, 29309507, 29617941, 29961821, 30020436, 30371817, 30380119, 31511885, 31642484, 31713629, 31799597, 31906603, 32382747, 32709339, 32849839, 33010177, 33021671, 33045745, 33068412, 33685493, 34022814, 34496744, 27337171, 27643925, 28420402, 28974472, 30184150, 30371815, 30380087, 30913342, 32047897, 32248093, 32286817, 32351388, 32620074, 32976581, 32990749, 33074314, 33179754, 33360695, 33985427, 34273956, 34407614, 29351734, 30217145, 30223042, 30365026, 30462313, 31021279, 32168374, 32221380, 32349124, 32738156, 33068436, 33095866, 33175170, 33993461, 34601118, 29917040, 30285109, 30335166, 30364951, 30364952, 30364956, 31161214, 31599330, 31670377, 32016318, 33175131, 33219685, 33306787, 33306800, 33693667, 34344425, 30715167, 30172046, 30407568, 30371818, 33196801, 30204897, 31942978, 30329098, 33010178, 33219661, 30407549, 26744602","AddictGene, Animal-ImputeDB, Animal-APAdb, AppleMDO, ASGDB, ASD, ASRD, ASFVdb, ASER, AtCircDB, ATD, ATdb, ATACdb, AtMAD, AWESOME, BBCancer, BC-TFdb, BGVD, BioM2MetDisease, BrainEXP, CancerImmunityQTL, CancerSEA, CancerSplicingQTL, CancerTracer, CanImmunother, CARDIO-LNCRNAS, CardioTF, CATA, CAUSALdb, CeleryDB, Cellinker, CellMarker, CellTalkDB, CFEA, CHDGKB, ChemHub, Chinese Glioma Genome Atlas, CIGene, CircAtlas, circExp, CIRCpedia, circR2Cancer, CircR2Disease, circVAR, CKTTD, CMAUP, CMBD, CMVdb, CNAdbCC, cncRNAdb, CoFly, ColorCells, CottonGVD, CovalentInDB, CoVdb, CRISPRlnc, CRPMKB, CrusTF, dbPHCC, DNetDB, DisBind, Dynamic-BM, DRDB, dbCRSR, dbLGL, dbCID, dbCPM, DSMNC, dbMPIKT, dbHDPLS, dbInDel, DrugCombDB, DrugSpaceX, CyanoPATH, D3DistalMutation, DevOmics, GAMDB, FVD, EWASdb, EVmiRNA, EndoDB, EWAS Atlas, ETCM, ENPD, EnDisease, GEDS, Gene4Denovo, ENdb, FluReassort, ETph, FRCD, ExoceRNA Atlas, EnzyMine, FishDB, FifBase, FAWMine, EyeDiseases, FertilityOnline, EnhFFL, Grape-CRISPR, HCSGD, HEROD, IDPM, HDncRNA, HAMdb, HCCDB, iDog, GMrepo, HybridMolDB, GWAS Atlas, gutMDisorder, GESUR, GRONS, HKPocket, HotSpot3D, gutMEGA, hTFtarget, IDDB, GIMICA, GRNdb, HERB, iCysMod, HIR, GPCards, GGVD, HisPhosSite, HFBD, GWH, HBFP, HFIP, LiverAtlas, LnChrom, lncRNAnet, LncACTdb, KnockTF, LnCeVar, MaGenDB, LncTarD, LLPSDB, LncSpA, MACSNVdb, IRESbase, lncR2metasta, LncAS2Cancer, LncSEA, LncExpDB, KNIndex, LnCeCell, InSexBase, M6ADD, ImmReg, MiasDB, MetSigDis, MethCNA, MCENet, MepmiRDB, MDR, MNDR, MosaicBase, miRNASNP-v3, MASI, MloDisDB, MolluscDB, MicroPhenoDB, Mollusca mitochondrial database, ncDR, PepBDB, PADFrag, NucMap, OncoBase, OsteoporosAtlas, PGG.Han, PCaLiStDB, PDIR, ncEP, NoncoRNA, Nc2Eye, ncRPheno, ncRI, OncotRF, ncRNAVar, PDmethDB, NPBS, NBIGV, NGD, OGP, PCPD, NUCOME, Nabe, PLNlncRbase, POSTAR2, piRTarBase, qPhos, PhaSepDB, QTLbase, PSMD, PmiREN, prokaryotic antiviral defense system, PGG.SNV, PlantCircNet, PsyMuKB, QSIdb, PROTAC-DB, piRNA-eQTL, PMI-DB, SecReT6, SilkPathDB, RED, RRDB, SEGreg, SCRIPT-MAP, SDADB, realDB, SEdb, SAGD, SNP2APA, SilkDB, SpatialDB, RNAactDrug, RNAInter, RSVdb, saponin mass spectrometry database, RIGD, SC2disease, RMVar, SilencerDB, RASP, riboCIRC, Rhododendron Plant Genome Database, RPocket, TarNet, StemCellCKB, SSER, Stress2TF, TRCirc, TransmiR, SymMap, TPIA, TRlnc, TE141K1, TeroKit, TCMIO, TeaCoN, STAB, TCRdb, TransCirc, TISCH, ToxinDB, TarDB, TCM-Blast, Tracking Air Pollution in China, EOGD, PPGD, TSNAdb, Victors, Cistrome DB, UVGD, uORFlight, WeiBI, VirusCircBase, YIR, tsRBase, VARAdb, 2019nCoVR, TUPDB, Viral Putative G-quadruplex, MPD, LncRNADisease, RPFdb, DoriC, PED, HMDD, WDSPdb, LSD, NPInter, VariBench, deepBase, Lnc2Cancer, MetaADEDB, CEG, UbiNet, SorGSD, BacWGSTdb, ICEberg, piRBase, NONCODE, AnimalTFDB, LncBook, LincSNP"
"EU 7th Framework Programme",1,1,1,"22682155","AFFINOMICS"
"Biotechnology and Biological Sciences Research Council",528,179,117,"22682155, 22345505, 25414324, 24265221, 33176685, 28708831, 25414348, 27189610, 26794641, 29040563, 32754757, 23180789, 31095607, 25270877, 25348397, 33084893, 23161684, 23203878, 25232097, 21803806, 22080548, 22110040, 22139938, 22912585, 23203866, 25348407, 25361971, 25432969, 26590404, 27899646, 30008982, 30349118, 30357393, 32726198, 34220930, 25189782, 26314736, 26578596, 27189608, 30364992, 22096229, 22494395, 23452239, 23667450, 27484196, 27899604, 28806134, 30252093, 23060735, 24330312, 30418645, 31612915, 33502607, 22674824, 25172923, 25399418, 26476444, 31584092, 32693783, 33749993, 21801404, 21980353, 23674503, 25414340, 25558364, 30053269, 27097230, 29057095, 29228298, 30321422, 33416848, 22121217, 22140109, 23766369, 24194607, 25300487, 25414345, 26123534, 28013278, 22080546, 24304889, 25300491, 26452372, 27899279, 30398663, 31696235, 32548865, 22067447, 23193253, 23203987, 25352543, 25635527, 26673716, 27794045, 27899622, 29112718, 29145643, 30020414, 30423142, 30476227, 31642470, 31724711, 32728249, 33290552, 30395294, 31701150, 26467479, 24297252, 24270792, 31733063, 30298402, 33270111, 25428371, 23109552, 27613420, 29106550, 30445555, 26657633, 26481351, 29858801, 26582919, 24217918, 23203882, 33237286, 24163254, 24316576, 27794554, 30357350, 29927072, 24275495, 28077563, 23193272, 26476458, 30217829, 24214989, 26578585, 27899635, 29140473, 23630246, 30395289, 29858800, 26888907, 30395267, 33125078, 33211869, 22096232, 25428363, 27450113, 30395331, 26615190, 29112716, 30398656, 31701148, 22064864, 29165610, 26527722, 31641782, 26896847, 33106848, 24288371, 25723102, 27980099, 29069413, 27899630, 33156333, 23180798, 33170273, 29155950, 29140475, 30407521, 30395270, 31691826, 31722421, 30395287, 26578574, 33175160, 29092050, 31598706, 22086963","AFFINOMICS, Arabidopsis Network Analysis Pipeline, Araport, ArchDB, AVIMM, biochem4j, BioModels, BioSharing, BRAINS, CAZypedia, CerealsDB, ChEBI, CiliaCarta, CODEX, ComPPI, crisprSQL, dcGO, D(2)P(2, DAA, Gee Fu, ENA, ELM, Gene3D, GenDR, FlyAtlas, Genome3D, GeneFriends, Ensembl Plants, FunTree, FAIRDOMHub, EMDB, GeneATLAS, GENCODE, EnteroBase, FAANG, GOBLET, GlycoMob, HPMC, HLA-ADR, GPs, InterPro, InterStoreDB, LjGEA, LipidHome, iLIR, IPD-MHC, iLIR@viral, iProX, MetaboLights, Marmal-aid, MemProtMD, MIBiG, Missense3D-DB, PCDDB, Naked Mole Rat Genome Resource, OMA, PDBe, PDBe-KB, ORDER, OmniPath, PICCOLO, pubmed2ensembl, PhosphoGRID, PHI-base, PREDICTS, PITDB, SignaFish, SalmoNet, SeedStor, RetroRules, SARS CoV-2, Stem Cell Discovery Engine, TAIR, TIMBAL, TreeFam, Super Natural II, SUPERFAMILY, The Mouse Genomes Project, ThaleMine, International Nucleotide Sequence Database Collaboration, Expression Atlas, TrypanoCyc, WaspAtlas, WormBase ParaSite, CATH, MGnify, UK Immunological Toolbox, Ensembl Genomes, LAMP, Ensembl, RNAcentral, ARN, Pfam, FANTOM5, UniProt, Rfam, MEROPS, SKEMPI, miRBase, BioGRID, WormBase, SCOP, ENCODE, GOC, antiSMASH, eggNOG, AFND, Gramene, PRIDE, UniProtKB, ArrayExpress, GlyTouCan, OAS, JASPAR, IPD, BioSamples, PDB"
"U.S. Department of Agriculture",15,4,4,"30239679, 31210271, 28415075, 33264401","AgBioData, Chickspress, HopBase, SoyBase"
