epoch,train_precision,train_recall,train_f1,train_loss,val_precision,val_recall,val_f1,val_loss,model_name
0,0.9784172661870504,0.7101827676240209,0.8229954614220877,0.0142745070417769,0.92,0.575,0.7076923076923077,0.0184988350894466,bert-base-uncased
1,0.9889807162534436,0.93733681462141,0.9624664879356568,0.0046247215596614,0.8611111111111112,0.775,0.8157894736842106,0.0200806143722912,bert-base-uncased
2,0.943069306930693,0.9947780678851176,0.9682337992376112,0.0036004023641858,0.7,0.875,0.7777777777777777,0.0303600696999134,bert-base-uncased
3,1.0,1.0,1.0,0.0001494112358317,0.7857142857142857,0.825,0.8048780487804876,0.0263319234305161,bert-base-uncased
4,1.0,1.0,1.0,0.0002503720688442,0.8611111111111112,0.775,0.8157894736842106,0.0247254250248976,bert-base-uncased
5,1.0,1.0,1.0,5.175392756237112e-05,0.7555555555555555,0.85,0.7999999999999998,0.0274129222021233,bert-base-uncased
6,1.0,1.0,1.0,3.330824539649548e-05,0.7727272727272727,0.85,0.8095238095238095,0.0292079951259038,bert-base-uncased
7,1.0,1.0,1.0,2.4941893463434727e-05,0.7727272727272727,0.85,0.8095238095238095,0.0306161555971177,bert-base-uncased
8,1.0,1.0,1.0,1.9725642449676057e-05,0.7727272727272727,0.85,0.8095238095238095,0.0318002053670096,bert-base-uncased
9,1.0,1.0,1.0,1.6138146942777896e-05,0.7727272727272727,0.85,0.8095238095238095,0.0328283470931957,bert-base-uncased
0,0.7239382239382239,0.97911227154047,0.832408435072142,0.0181713900591229,0.6153846153846154,1.0,0.761904761904762,0.0256008761202764,dmis-lab/biobert-v1.1
1,0.9512820512820512,0.9686684073107048,0.9598965071151356,0.00428044002054,0.8,0.8,0.8000000000000002,0.0147630558261331,dmis-lab/biobert-v1.1
2,1.0,0.9686684073107048,0.9840848806366048,0.0024200166264435,0.9310344827586208,0.675,0.7826086956521738,0.0266639774331366,dmis-lab/biobert-v1.1
3,1.0,0.9895561357702348,0.994750656167979,0.0009970445728253,0.9310344827586208,0.675,0.7826086956521738,0.023675157960926,dmis-lab/biobert-v1.1
4,0.9973958333333334,1.0,0.998696219035202,0.0002473273032533,0.7857142857142857,0.825,0.8048780487804876,0.0235615801022229,dmis-lab/biobert-v1.1
5,1.0,1.0,1.0,0.000106234203573,0.8205128205128205,0.8,0.810126582278481,0.0236749445504081,dmis-lab/biobert-v1.1
